index,price,returns,volatility
0,100.00000000,0.00000000,0.00500000
1,99.71763089,-0.00282369,0.00500000
2,99.97381411,0.00256909,0.00500000
3,100.33138626,0.00357666,0.00500000
4,99.79846461,-0.00531161,0.00500000
5,100.66893265,0.00872226,0.00500000
6,100.62196050,-0.00046660,0.00500000
7,100.45527019,-0.00165660,0.00500000
8,100.67900733,0.00222723,0.00500000
9,100.94128571,0.00260510,0.00500000
10,101.35410058,0.00408965,0.00500000
11,100.69445338,-0.00650834,0.00500000
12,100.63598188,-0.00058068,0.00500000
13,100.76271101,0.00125928,0.00500000
14,100.76139356,-0.00001307,0.00500000
15,100.90171460,0.00139261,0.00500000
16,99.85762558,-0.01034758,0.00500000
17,99.87628868,0.00018690,0.00500000
18,99.79234708,-0.00084046,0.00500000
19,99.88993450,0.00097790,0.00500000
20,99.72855120,-0.00161561,0.00500000
21,99.88807554,0.00159959,0.00500000
22,100.41198410,0.00524496,0.00500000
23,101.22541734,0.00810096,0.00500000
24,101.28664827,0.00060490,0.00500000
25,101.90005118,0.00605611,0.00500000
26,102.25389616,0.00347247,0.00500000
27,103.10016100,0.00827611,0.00500000
28,103.01633695,-0.00081304,0.00500000
29,102.87956400,-0.00132768,0.00500000
30,102.40306223,-0.00463165,0.00500000
31,101.59897278,-0.00785220,0.00500000
32,102.12936840,0.00522048,0.00500000
33,101.49771362,-0.00618485,0.00500000
34,101.96477871,0.00460173,0.00500000
35,101.37936465,-0.00574134,0.00500000
36,101.22121552,-0.00155997,0.00500000
37,100.70641907,-0.00508586,0.00500000
38,100.05103484,-0.00650787,0.00500000
39,99.55718769,-0.00493595,0.00500000
40,99.57511938,0.00018011,0.00500000
41,100.06160108,0.00488557,0.00500000
42,100.05910634,-0.00002493,0.00500000
43,99.49511240,-0.00563661,0.00500000
44,99.86910472,0.00375890,0.00500000
45,99.72824865,-0.00141041,0.00500000
46,99.85376678,0.00125860,0.00500000
47,100.86409424,0.01011807,0.00500000
48,100.87546201,0.00011270,0.00500000
49,100.57230844,-0.00300523,0.00500000
50,100.67065011,0.00097782,0.00500000
51,100.21651503,-0.00451110,0.00500000
52,100.06253597,-0.00153646,0.00500000
53,99.30236309,-0.00759698,0.00500000
54,98.48365827,-0.00824457,0.00500000
55,98.58541305,0.00103321,0.00500000
