index,price,returns,volatility
0,100.00000000,0.00000000,0.01000000
1,98.81058513,-0.01196545,0.00981193
2,96.83546367,-0.02019145,0.01030292
3,97.58359136,0.00769607,0.01187422
4,96.90636928,-0.00696411,0.01165206
5,96.14552040,-0.00788237,0.01141292
6,95.32430135,-0.00857810,0.01126631
7,94.17654631,-0.01211360,0.01119145
8,94.86115057,0.00724308,0.01145143
9,93.51734568,-0.01426732,0.01125661
10,94.02250198,0.00538720,0.01174990
11,94.71762114,0.00736592,0.01141286
12,96.04401951,0.01390657,0.01123125
13,96.17201207,0.00133176,0.01168585
14,94.71371527,-0.01527956,0.01123622
15,94.97109149,0.00271373,0.01186007
16,94.75779007,-0.00224849,0.01141484
17,92.84160125,-0.02042923,0.01101178
18,90.69086477,-0.02343820,0.01244209
19,89.03018268,-0.01848119,0.01401855
20,88.03077586,-0.01128896,0.01453263
21,87.12143231,-0.01038356,0.01422187
22,87.13766898,0.00018635,0.01388180
23,87.43522026,0.00340891,0.01318340
24,85.32907767,-0.02438290,0.01260531
25,85.51736161,0.00220413,0.01430078
26,84.54100470,-0.01148274,0.01357650
27,85.19094973,0.00765852,0.01341113
28,85.61808522,0.00500133,0.01299019
29,86.18469048,0.00659602,0.01248738
30,86.30269265,0.00136824,0.01212003
31,86.09921668,-0.00236049,0.01162102
32,85.35948479,-0.00862874,0.01119589
33,85.23823151,-0.00142151,0.01113514
34,85.44528289,0.00242615,0.01075150
35,84.92252329,-0.00613685,0.01043284
36,85.69275745,0.00902896,0.01030939
37,86.70108753,0.01169812,0.01041601
38,84.41336716,-0.02674066,0.01076587
39,85.21274854,0.00942529,0.01341732
40,86.18194566,0.01130966,0.01311124
41,85.07370527,-0.01294271,0.01299652
42,85.65196189,0.00677413,0.01305085
43,85.44114771,-0.00246432,0.01262398
44,85.01698924,-0.00497670,0.01208583
45,84.43349561,-0.00688692,0.01168905
46,83.46043452,-0.01159151,0.01144036
47,82.70054845,-0.00914645,0.01160543
48,84.35566762,0.01981576,0.01152600
49,85.13010130,0.00913869,0.01273530
50,84.68251560,-0.00527154,0.01249845
51,83.39582728,-0.01531088,0.01206476
52,82.02297184,-0.01659892,0.01253663
53,81.69562811,-0.00399886,0.01308222
54,80.37487740,-0.01629883,0.01253283
55,79.99717194,-0.00471037,0.01304133
56,81.03125816,0.01284370,0.01252132
57,80.62088446,-0.00507726,0.01263970
58,80.87957830,0.00320363,0.01218095
59,80.28555322,-0.00737167,0.01171092
60,81.08964164,0.00996553,0.01148947
61,79.50944634,-0.01967939,0.01149513
62,80.12936240,0.00776652,0.01269035
63,80.02847169,-0.00125989,0.01236609
64,80.11466913,0.00107651,0.01183811
65,79.07303995,-0.01308699,0.01136819
66,80.87824916,0.02257295,0.01170373
67,82.42315342,0.01892146,0.01331858
68,82.06645469,-0.00433704,0.01402066
69,80.52950135,-0.01890575,0.01337808
70,80.67782633,0.00184018,0.01406662
71,80.09340371,-0.00727027,0.01336144
72,81.08475245,0.01230143,0.01292418
73,81.42955720,0.00424338,0.01292717
74,81.73474141,0.00374083,0.01240346
75,82.91527709,0.01434019,0.01192343
76,84.03279621,0.01338783,0.01230476
77,83.66123907,-0.00443138,0.01251477
78,83.85810247,0.00235034,0.01204534
79,83.01867145,-0.01006057,0.01157061
80,83.53675967,0.00622123,0.01157233
81,82.15207167,-0.01671471,0.01130050
82,80.49193919,-0.02041502,0.01210307
83,80.93753793,0.00552068,0.01327362
84,80.17099236,-0.00951596,0.01275964
85,80.92799341,0.00939803,0.01254761
86,80.37477164,-0.00685945,0.01235550
87,82.50461076,0.02615384,0.01201935
88,80.87495561,-0.01994998,0.01418441
89,82.15835660,0.01574436,0.01485995
90,81.26899985,-0.01088392,0.01491589
91,82.58974743,0.01612091,0.01452436
92,81.05796752,-0.01872100,0.01467317
93,80.68529540,-0.00460820,0.01510147
94,80.00627472,-0.00845128,0.01435164
95,79.87654550,-0.00162280,0.01386422
96,80.24256975,0.00457191,0.01317754
97,81.23276840,0.01226455,0.01263687
98,80.87760085,-0.00438181,0.01267986
